public_identifier;num_accomplishment_honors_awards;title;issuer;issued_on;description
aaron-lim-b88b2268;3;;null;30-04-2013;Received for a fantastic job in handling customer situations and liaising with EMC remote support. Recognized for great effort put in to meet customer expectation on EMC support and demonstrated perseverance and dedication.
aaron-lim-b88b2268;4;;null;31-05-2012;Received for organization of quarterly e-Services workshop for customers, which is an ongoing corporate initiative. Recognized for teamwork in providing the continuous effort in ensuring the success to drive adoption at customer\u2019s environment.
aaron-lim-b88b2268;5;;null;30-04-2010;Received for performing on top of primary role. Recognized for achieving results for SEA and most importantly helped EMC customers in adopting EMC e-Services.
aaron-lim-b88b2268;6;;null;31-03-2010;Received for the successful completion of BNPP DR drill. Recognized by customer for an impressive execution even though there were issues during the DR exercise.
aaron-lim-b88b2268;7;;null;31-01-2010;Recognized for dedication and commitment and going beyond his area of duty to ensure the successful completion of a complex DR exercise in BNPP.
aaron-lim-b88b2268;8;;null;31-05-2009;Recognized for a success DC consolidation, great teamwork, technical skills, quality of work, customer commitment and professionalism.
aaron-lim-b88b2268;9;;null;30-04-2006;Recognized for solid teamwork and relentless effort to provide workaround to Chartered, during their Storage outrage. The tenacity to see that customer operation was expeditiously resumed is greatly admired.
aaron-lim-b88b2268;10;;null;30-04-2006;Recognized for successful migration of GE Plastics Storage in their consolidation project.
aaron-lim-b88b2268;11;;null;30-11-2005;Recognized for dedication and passion for customers, and efforts to resolute backup issue.
aaron-loh-91065256;1;;UGS, Siemens PLM Software;31-01-2009;null
aaron-loh-91065256;2;2001;Temasek Polytechnic;31-07-2001;null
aaron-neo1;1;2017;Enterprise Sports Group;null;null
aaron-neo1;2;2017;Enterprise Sports Group;null;null
aaron-poh-893526b1;1;;Patrick H M Loh;31-12-2018;null
aaron-ryu-ng-04385795;1;;null;30-06-2008;National Youth EnvirOlympics Challenge\nAwarded the Colours Award for Outstanding Leadership (National Level)\nand Award of Distinction
aaron-ryu-ng-04385795;2;;null;31-08-2011;null
aaron-ryu-ng-04385795;3;;null;31-05-2007;Temasek Junior College Students' Council\nProject Co-ordinator of the Executive Committee\nAwarded the Plaque Award (Highest CCA Award) for outstanding service
aaron-siong-ping-goh-4312b590;1;2015;Mine Safety Appliances (MSA) / General Monitors;31-12-2014;null
aaron-tham-457238163;1;;Singapore Armed Forces (SAF);31-08-2018;null
aaron-tham-457238163;2;2019-02;Singapore General Hospital;31-08-2012;Sentosa 4km Run 2012
aaron-tham-457238163;3;2016;Singapore General Hospital;31-10-2016;SingHealth Transplant
aaron-tham-457238163;4;;Ministry of Health and SingHealth Foundation;31-01-2014;Enhancing Peri-Operative Nursing and Clinical Care in Endovascular and Vascular Surgery at Waiora Waikato Hospital, New Zealand
aaron-tham-457238163;5;;Singapore Armed Forces (SAF);31-12-2014;SAF Good Service Medal
aaron-tham-457238163;6;;Singapore Armed Forces (SAF);31-03-2010;Best Soldier Award March 2010 (Singapore Armed Forces, 36th Battalion Singapore Combat Engineers)
aaron-tham-457238163;7;;Singapore General Hospital;31-07-2016;Service Quality Award Winner - July 2016
aaron-wee;1;;-;01-01-2018;null
aaron-wee;2;;-;01-01-2010;Placed on directors list for 2 years. (From 2010 - 2012)
aaron-wong-55a4a582;1;;Beta Gamma Sigma;01-01-2015;"\""Beta Gamma Sigma is an international honour society that recognises business excellence among students in AACSB accredited business schools globally. Membership in BGS is the highest recognition business students and faculty can receive from a business programme.\"
aaron-wong-55a4a582;2;2013-2014;Lee Kong Chian School of Business, Singapore Management University;01-09-2014;Awarded to students who attain a cumulative GPA of 3.70 or better over 2 consecutive regular terms of an academic year.
aaron-wong-55a4a582;3;;Changi Airport Group;01-08-2014;Scholarship with a 1-year bond awarded based on internship performance during the annual Talent Internship Programme.
aaron-wong-55a4a582;4;;Victor and William Fung Foundation;01-06-2014;"\""The Li & Fung Scholarships are awarded to outstanding full-time local undergraduates at the Singapore Management University proceeding for exchange in overseas universities. The objective of the scholarships is to enrich the scholars' understanding in their fields of study and to expose them to different cultures and environments.\"
aaron-wong-55a4a582;5;2012-2013;Lee Kong Chian School of Business, Singapore Management University;01-08-2013;Awarded to students who attain a cumulative GPA of 3.70 or better over 2 consecutive regular terms of an academic year.
aaronncl;1;;NYAA COUNCIL;31-01-2013;The National Youth Achievement Award (NYAA) is an exciting personal challenge to young people between the ages of 14 and 25. It is a prestigious youth development programme which aims to develop personal qualities of self-reliance, perseverance and a sense of responsibility to oneself and to society.\n\nThere are 3 levels of the Award in which you can participate \u2013 Bronze, Silver and Gold, with each successive level requiring a greater level of commitment and determination.\n\nWithin each level, you are required to complete various non-competitive activities in the areas of Service, Adventurous Journey, Skills, and Physical Recreation.
aaronncl;2;;Ministry of Education;31-01-2013;All Singaporean students from Primary 4 onwards in Government and Government-aided schools, junior colleges/centralised institute, independent schools, specialised schools and the Institute of Technical Education are eligible for the Edusave Award for Achievement, Good Leadership and Service, which is given to up to 10% of students who have demonstrated leadership qualities, service to community and schools, excellence in non-academic activities, and good conduct.
aaronncl;3;;Ministry of Education;31-12-2011;All Singaporean students from Primary 5 onwards in Government, Government-aided and specialised schools are eligible for the Edusave Scholarship, if they are within the top 10% of their level and course in terms of academic performance, and have demonstrated good conduct
aaronncl;4;03;Singapore Polytechnic;30-04-2016;Built an all-terrain remote-controlled vehicle, using limited resources such as a piece of corrugated cardboard, motor, gears and the rest to our creativity and innovation. \nThe vehicle went through a series of obstacles and courses and eventually got us 3rd in the overall challenge.
aaronncl;5;;St Andrew's Junior College;31-12-2013;Recipients of the Colours Award in the CCA category are recognised for their contributions in\nSports, Performing and Visual Arts, Uniformed group and various Clubs and Societies. This\nAward acclaims their dedication, passion and invaluable service to the school and for displaying exemplary conduct and character.
aaronncl;6;2014;St Andrew's Junior College;31-12-2013;The SAJC Exemplary Character Award is a teacher-nominated award which aims to recognise students who have consistently demonstrated the core values of St Andrew\u2019s Village through character and behaviour in the course of their academic pursuit and CCAs.
aaronncl;7;;Ministry of Education;31-12-2010;All Singaporean students from Primary 5 onwards in Government, Government-aided and specialised schools are eligible for the Edusave Scholarship, if they are within the top 10% of their level and course in terms of academic performance, and have demonstrated good conduct
aaronncl;8;2016;Singapore Polytechnic;31-03-2016;The annual Excellence Awards Ceremony is organised by the Department of Student Development & Alumni Relations of Singapore Polytechnic with an aim to recognise outstanding achievements, talents and contributions demonstrated by  students throughout the year in the areas of co-curricular activities covered in the four key pillars of Arts, Community Service, Leadership and Sports.
aaronncl;9;44;Singapore School Sports Council;30-06-2014;The Colours Awards is presented in recognition of sporting achievements and a display of good sporting character and values.
aarontelfer;1;01-02;The Institute of Banking & Finance Singapore;01-08-2015;null
aarontelfer;2;;CFA Society UK;01-02-2011;This session completed the RDR examination requirement for advising in securities and derivatives in combination with passes in the Investment Management Certificate (level 3 passed before 1 September 2010) + CFA.
aarontelfer;3;;CFA Institute;01-08-2009;null
aarontelfer;4;;CFA Institute;01-02-2002;null
aarontingkh;1;02;Toastmasters District 80;01-08-2017;null
aarontingkh;2;02;Toastmasters International;01-08-2016;null
aarontingkh;3;;Pioneer Junior College;01-05-2016;null
aarontingkh;4;;-;null;null
aaronykg;1;2012;IPP Financial Advisers Pte Ltd;31-12-2012;null
aaronykg;2;2012;IPP Financial Advisers Pte Ltd;31-12-2012;null
aaronykg;3;2011;IPP Financial Advisers Pte Ltd;31-12-2011;null
aaronykg;4;2011;IPP Financial Advisers Pte Ltd;31-12-2011;null
aaronykg;5;2010;IPP Financial Advisers Pte Ltd;30-06-2010;null
aaronykg;6;2009;IPP Financial Advisers Pte Ltd;30-06-2009;null
aaronykg;7;2008;IPP Financial Advisers Pre Ltd;30-06-2008;null
aaronykg;8;2007;IPP Financial Advisers Pte Ltd;30-06-2007;null
aaronykg;9;2006;IPP Financial Advisers Pte Ltd;30-06-2006;null
aaronykg;10;2005;IPP Financial Advisers Pte Ltd;30-06-2005;null
aarthi-rajandran-993090158;1;;Mrs Karen Tay;31-05-2014;null
aarthi-rajandran-993090158;2;;Mrs Karen Tay;31-03-2017;1st in Cohort for English Language
aarthi-rajandran-993090158;3;10-2011;Mrs Fanny Tan;31-07-2011;Champion of Local Schools
aarthi-rajandran-993090158;4;;Mrs Magdalene Bheem;31-01-2006;Completion of home leadership programmer
aarthy-muthiah-a41942110;1;2016;-;01-05-2016;null
aarti-ramaswami-1299232;1;2016-40;Singapore Business Review;01-01-2016;null
aarti-ramaswami-1299232;2;;-;01-01-2015;null
aarti-ramaswami-1299232;3;00-09;-;01-01-2011;null
aarti-ramaswami-1299232;4;;-;01-01-2007;null
aarti-ramaswami-1299232;5;;-;01-01-2007;null
aarti-ramaswami-1299232;6;;-;01-01-2007;null
aarti-ramaswami-1299232;7;10;-;01-01-2003;null
aartibartake;1;2016-02;FB Art group 'Photos for Artists'(10,000 plus members);01-01-2016;SOUTH WESTERN AMERICAN LANDSCAPES (2016) contest . Won 2nd Prize for my Painting titled 'Cascade'
aartibartake;2;50;My Art Space Istana, Singapore;01-07-2015;Winner of the MOST FAVOURITE PAINTING in the SG 50 FORT CANNING PARK CONTEST 24 TH JULY 2015 for my painting \u2018Amongst the Greenery\u2019.
aartibartake;3;;FINE ART AMERICA;01-01-2015;1st Prize for my painting 'Benares'.
aartibartake;4;2015;Maharashtra Mandal Singapore.;01-01-2015;2nd Prize for my painting \u2018Sootradhar'
aartibartake;5;2014;Fine Art America;01-01-2014;3rd Prize in Best entry for the year 2014 for my Painting titled 'Orchids' on Fine Art America.
aashitakawatra;1;;SPIE;28-02-2017;"Received a grant of USD500$ for organizing Women in Optics event named \""Women in Science\"" at VIT"
aashitakawatra;2;;SPIE;31-05-2017;Received a travel grant of USD2200$ for participating in SPIE Optics + Photonics 2017 in San Diego, California
aashitakawatra;3;;Bhumi;30-09-2015;Received certificate for Energy and Enthusiasm showed in a project leadership role
aashna-shaparia-5181a548;1;;Lee Kong Chian School of Business;01-01-2013;null
aashna-shaparia-5181a548;2;;H.R. College of Commerce and Economics;01-01-2010;null
aashna-shaparia-5181a548;3;;H.R. College of Commerce and Economics;01-01-2009;null
aastikbhasin;1;;The Arcs Film Festival, Germany;01-02-2019;Official Selection at the film festival.
aastikbhasin;2;;Frameworks 2018;01-07-2018;Official Selection at the film festival.
aastikbhasin;3;;Depth of Field International Film Festival;01-07-2018;Official Selection at the film festival.
aastikbhasin;4;;Top Indie Film Awards;01-06-2018;Best student film award.
aastikbhasin;5;;Euroshorts, Poland;01-05-2018;Official Selection at the film festival.
abanks06;1;;-;01-01-2019;null
abanks06;2;;-;01-01-2018;null
abanks06;3;;-;01-01-2015;null
abanks06;4;;-;01-01-2014;null
abanks06;5;;-;01-01-2013;null
abby-chong-1b9a1b75;1;;University;30-06-2013;null
%E6%99%93%E4%B8%9C-%E5%88%98-782a4596;1;;International Micro Air Vehicles, Conferences and Competitions;30-09-2017;Responsible for outdoor aerial mapping task, ranked 1st among all the international competitors. More details can be found at http://www.imavs.org/2017/
%E6%B5%A9%E6%A5%A0-%E9%99%88-06ba72118;1;;Beihang University;01-06-2016;null
%E6%B5%A9%E6%A5%A0-%E9%99%88-06ba72118;2;;CSC;01-09-2015;null
%E7%85%9C-yu-%E7%8E%8B-wang-616272187;1;2017-2018;Southern University of Science and Technology;30-11-2018;(Top 10% among 600)
%E7%85%9C-yu-%E7%8E%8B-wang-616272187;2;2018;Southern University of Science and Technology, Zhiren College;30-06-2018;(One of three winners among over 600 candidates)
%E7%85%9C-yu-%E7%8E%8B-wang-616272187;3;2018;Department of Education of Guangdong Province;31-05-2018;null
%E7%85%9C-yu-%E7%8E%8B-wang-616272187;4;2016-2017;Southern University of Science and Technology;30-11-2017;(Top 10% among 500)
%E7%85%9C-yu-%E7%8E%8B-wang-616272187;5;2017;University of British Columbia, School of Arts & Architecture;31-08-2017;(Top 10%)
%E7%85%9C-yu-%E7%8E%8B-wang-616272187;6;2015-2016;Southern University of Science and Technology;30-11-2016;(Top 10% among 400)
%F0%9F%8E%93victor-cornelius-930b7212;1;;NCR Corporation;01-01-2020;null
%F0%9F%8E%93victor-cornelius-930b7212;2;2019;NCR Corporation;01-01-2020;null
%F0%9F%8E%93victor-cornelius-930b7212;3;2018;NCR;01-02-2019;null
%F0%9F%8E%93victor-cornelius-930b7212;4;100-2018;NCR;01-01-2019;null
%F0%9F%8E%93victor-cornelius-930b7212;5;2016;Oracle;01-01-2017;null
%F0%9F%8E%93victor-cornelius-930b7212;6;;Oracle;01-11-2016;null
%F0%9F%8E%93victor-cornelius-930b7212;7;2015;Avaya;01-11-2015;null
%F0%9F%8E%93victor-cornelius-930b7212;8;2014;Avaya;01-10-2014;null
%F0%9F%91%A8%E2%80%8D%F0%9F%92%BB-muhd-syahiran-bin-mohd-azlan-0a96a7141;1;;Info-communications Media Development Authority;31-10-2018;The iPrep Programme aims to prepare and equip pre-graduates from Post-Secondary Education Institutions with relevant skillsets and work experience to ensure a pipeline of industry-ready graduates to meet industry manpower needs
